2019-02-24 15:34:04, defender, <built-in function id>, -1358, 247
2019-02-24 15:34:04, intruder, <built-in function id>, -608, 1225
2019-02-24 15:34:15, intruder, <built-in function id>, -103, 188
2019-02-24 15:34:28, defender, <built-in function id>, -2281, 411
2019-02-24 15:34:28, intruder, <built-in function id>, -122, 222
2019-02-24 15:34:28, defender, <built-in function id>, -2147, 410
2019-02-24 15:34:40, defender, <built-in function id>, -1239, 212
2019-02-24 15:34:40, defender, <built-in function id>, -1169, 222
2019-02-24 15:34:40, intruder, <built-in function id>, -122, 219
2019-02-24 15:34:46, intruder, <built-in function id>, -60, 116
2019-02-24 15:34:46, defender, <built-in function id>, -595, 109
2019-02-24 15:34:46, defender, <built-in function id>, -566, 112
2019-02-24 15:35:05, intruder, <built-in function id>, -177, 339
2019-02-24 15:35:15, defender, <built-in function id>, -2496, 497
2019-02-24 15:35:15, intruder, <built-in function id>, -87, 159
2019-02-24 15:35:24, defender, <built-in function id>, -794, 168
2019-02-24 15:35:30, defender, <built-in function id>, -523, 108
2019-02-24 15:35:30, intruder, <built-in function id>, -139, 276
2019-02-24 15:35:35, defender, <built-in function id>, -458, 89
2019-02-24 15:35:54, defender, <built-in function id>, -1383, 321
2019-02-24 15:35:54, intruder, <built-in function id>, -194, 416
2019-02-24 15:36:03, intruder, <built-in function id>, -71, 132
2019-02-24 15:36:03, defender, <built-in function id>, -672, 132
2019-02-24 15:37:43, defender, <built-in function id>, -8906, 1840
2019-02-24 15:38:31, intruder, <built-in function id>, -1433, 2982
2019-02-24 15:39:07, defender, <built-in function id>, -7405, 1609
2019-02-24 15:39:49, intruder, <built-in function id>, -756, 1491
2019-02-24 15:40:26, intruder, <built-in function id>, -375, 679
2019-02-24 15:41:31, intruder, <built-in function id>, -717, 1314
2019-02-24 15:44:38, defender, <built-in function id>, -11736, 1630
2019-02-24 15:44:38, intruder, <built-in function id>, -1604, 2425
2019-02-24 15:44:45, defender, <built-in function id>, -13526, 1993
2019-02-24 15:45:03, defender, <built-in function id>, -86, 494
2019-02-24 15:49:27, defender, <built-in function id>, -1257, 238
2019-02-24 15:49:27, defender, <built-in function id>, -1191, 244
2019-02-24 16:41:23, intruder, <built-in function id>, -171, 315
